브랜드명,위도,경도
이디야,37.5151175359347,126.918061930143
이디야,37.5195441715436,126.939197515335
이디야,37.4690754974886,127.040264535602
이디야,37.4490661391638,126.913645616749
이디야,37.486436308155,126.854871610173
이디야,37.5042531290316,126.922245141657
이디야,37.5491759557566,126.863294073943
이디야,37.506578801536,126.901807636528
이디야,37.5669176328747,126.965217701593
이디야,37.4517946273034,126.906621395895
이디야,37.5350553803212,127.007036466984
이디야,37.5291600035584,127.136241466487
이디야,37.554547359671,127.011610592033
이디야,37.5237380756014,126.907031665096
이디야,37.5768156922163,126.898999488272
이디야,37.6045916750418,127.042263523491
이디야,37.646364068414,127.072753764215
이디야,37.4716851007454,127.045397700723
이디야,37.6393343906266,127.026691250159
이디야,37.6091540791412,127.03821823545
이디야,37.4771452351858,126.977514179342
이디야,37.5998861951354,127.012494635061
이디야,37.5290123623274,127.122326901135
이디야,37.5028736267339,127.126105166905
이디야,37.6203185920224,127.058407824624
이디야,37.5464513792064,127.075565780456
이디야,37.502771571862,127.095784078649
이디야,37.6270521153716,127.02545799316
이디야,37.5541209722395,127.155159843579
이디야,37.6195316618627,127.021489538017
이디야,37.4950618711908,126.871996950456
이디야,37.5472533831882,126.843462731402
이디야,37.5405534709997,126.962176171854
이디야,37.5635306643161,127.014831070946
이디야,37.4583533134541,126.905542531971
이디야,37.5471557251567,126.843611355088
이디야,37.4833711550904,126.921731078431
이디야,37.547611713021,127.071862172364
이디야,37.6087264624303,126.926957295701
이디야,37.5128847164315,126.928138707535
이디야,37.5479118277253,126.866764852342
이디야,37.5224167796533,126.832974665135
이디야,37.5070244934749,127.089907778207
이디야,37.5953008771672,127.09935377369
이디야,37.5699605129835,127.037330076044
이디야,37.5920317986857,127.012813575772
이디야,37.5210012915703,126.923972675103
이디야,37.6102389672996,127.029856813028
이디야,37.545111904302,126.950864553283
이디야,37.5793057768301,126.98270783695
이디야,37.5993737618029,127.079520506244
이디야,37.497937846878,127.05610146906
이디야,37.5442900348065,127.055223136722
이디야,37.5029337869812,126.904202179446
이디야,37.5259611272443,126.908707551953
이디야,37.5533017090823,126.85387186478
이디야,37.5736095181775,127.040622714961
이디야,37.512739840754,127.119983696147
